ID,MonthlyIncome
871,5757.352664
872,2607.554481
873,12163.97792
874,2334.74741
875,2430.743662
876,5989.075117
877,5805.35079
878,2190.753031
879,2847.545112
880,12607.32552
881,9560.641869
882,2430.743662
883,5709.354537
884,5661.356411
885,5901.347042
886,5816.715259
887,6015.393343
888,5960.709638
889,5370.066595
890,2658.112381
891,5594.87554
892,8648.67747
893,8648.67747
894,5709.354537
895,9674.68817
896,8996.028823
897,8744.673723
898,16088.44641
899,5901.347042
900,2655.552607
901,2382.745536
902,5949.345169
903,6285.332052
904,2478.741789
905,16328.43704
906,5613.358285
907,9290.70316
908,6008.707764
909,2190.753031
910,2415.561976
911,19067.02634
912,2706.110508
913,2430.743662
914,12957.13097
915,6008.707764
916,5130.075964
917,2511.558228
918,5661.356411
919,2329.78029
920,2670.734294
921,2473.774669
922,2142.754905
923,5322.068469
924,5645.433441
925,16808.4183
926,2574.738041
927,5901.347042
928,13236.3786
929,2142.754905
930,2478.741789
931,6141.337674
932,12756.39734
933,8696.675596
934,2238.751157
935,2142.754905
936,2286.749284
937,9098.710655
938,9284.017581
939,6026.858676
940,2329.78029
941,2814.728673
942,8744.673723
943,9560.641869
944,5816.715259
945,2281.782164
946,5775.402712
947,2329.78029
948,2511.558228
949,2754.108634
950,5805.35079
951,2847.545112
952,5805.35079
953,5871.398965
954,2382.745536
955,5322.068469
956,8392.763868
957,10195.98198
958,2574.738041
959,9224.654985
960,19786.99824
961,2655.552607
962,5594.87554
963,6111.389596
964,5741.429693
965,2463.560102
966,19259.01885
967,2607.554481
968,8696.675596
969,16616.4258
970,2334.74741
971,5757.352664
972,5967.395217
973,2334.74741
974,2415.561976
975,5864.713385
976,2559.556354
977,6399.378353
978,2655.552607
979,9236.019455
980,18979.77122
981,2569.770921
982,8936.666228
983,2382.745536
984,2521.772795
985,5805.35079
986,2751.548859
987,2415.561976
988,5757.352664
989,9428.01196
990,2511.558228
991,5789.427819
992,2607.554481
993,5741.429693
994,5661.356411
995,5709.354537
996,5930.862424
997,2511.558228
998,16463.69029
999,8792.671849
1000,2142.754905
1001,5933.422198
1002,5317.101349
1003,5642.873666
1004,6584.685279
1005,2847.545112
1006,5853.348916
1007,2377.778416
1008,5967.395217
1009,19123.76559
1010,5701.086359
1011,9236.019455
1012,5738.869919
1013,6045.341421
1014,5418.064722
1015,5853.348916
1016,2478.741789
1017,2574.738041
1018,8696.675596
1019,8792.671849
1020,2367.563849
1021,5853.348916
1022,5757.352664
1023,5498.879287
1024,9482.695665
1025,16088.44641
1026,18883.77496
1027,5597.435314
1028,5661.356411
1029,5613.358285
1030,9112.735762
1031,5613.358285
1032,2850.104886
1033,12708.39921
1034,2415.561976
1035,5418.064722
1036,2415.561976
1037,5709.354537
1038,8728.750752
1039,12708.39921
1040,6015.393343
1041,2382.745536
1042,2655.552607
1043,8696.675596
1044,6285.332052
1045,2607.554481
1046,2142.754905
1047,5960.709638
1048,12861.13472
1049,2751.548859
1050,5757.352664
1051,10051.9876
1052,2478.741789
1053,5871.398965
1054,2655.552607
1055,2655.552607
1056,2382.745536
1057,5912.711512
1058,16136.44453
1059,6077.416577
1060,2655.552607
1061,5786.868045
1062,6056.70589
1063,6207.385848
1064,2425.776542
1065,6063.39147
1066,2334.74741
1067,3327.526375
1068,19459.75248
1069,5661.356411
1070,2473.774669
1071,2521.772795
1072,6248.698395
1073,2377.778416
1074,5967.395217
1075,5709.354537
1076,16424.43329
1077,19123.76559
1078,5370.066595
1079,5642.873666
1080,6074.856802
1081,2751.548859
1082,2559.556354
1083,2329.78029
1084,6141.337674
1085,8900.032571
1086,9176.656859
1087,5709.354537
1088,2655.552607
1089,2655.552607
1090,5709.354537
1091,5757.352664
1092,6141.337674
1093,12756.39734
1094,5757.352664
1095,5775.402712
1096,6008.707764
1097,3183.531996
1098,2658.112381
1099,2478.741789
1100,6104.704017
1101,18883.77496
1102,5805.35079
1103,6045.341421
1104,9896.628753
1105,2751.548859
1106,2751.548859
1107,2799.546986
1108,5645.433441
1109,5757.352664
1110,5709.354537
1111,6207.385848
1112,12957.13097
1113,13005.1291
1114,6285.332052
1115,9482.695665
1116,2751.548859
1117,6488.689027
1118,5370.066595
1119,9434.697539
1120,2665.767174
1121,9176.656859
1122,16376.43517
1123,5642.873666
1124,16136.44453
1125,2463.560102
1126,2329.78029
1127,2382.745536
1128,5322.068469
1129,16136.44453
1130,2286.749284
1131,12708.39921
1132,16088.44641
1133,5967.395217
1134,2286.749284
1135,2574.738041
1136,2382.745536
1137,2910.724925
1138,5901.347042
1139,9032.66248
1140,15743.7184
1141,5967.395217
1142,5901.347042
1143,9578.691918
1144,5613.358285
1145,5837.425946
1146,5805.35079
1147,5178.07409
1148,2286.749284
1149,2511.558228
1150,6015.393343
1151,2559.556354
1152,5805.35079
1153,6122.854929
1154,2142.754905
1155,6392.692774
1156,12086.03171
1157,2521.772795
1158,5882.864297
1159,2559.556354
1160,5960.709638
1161,2655.552607
1162,8900.032571
1163,2622.736168
1164,8996.028823
1165,2751.548859
1166,2190.753031
1167,8954.716276
1168,5709.354537
1169,2655.552607
1170,2751.548859
